date,weighted,close,high,low,open,volume
8/6/2020 21:08,322.79,322.79,331.87,315.3,333.35,288271736.2
8/7/2020 21:08,337.22,337.22,337.22,326.12,322.79,175136181.8
8/8/2020 21:08,332.02,332.02,337.09,330.13,337.22,205249867.7
8/9/2020 21:08,337.13,337.13,340.17,333.08,332.02,322411367.4
8/10/2020 21:08,323.32,323.32,327.89,319.43,337.13,283280647.6
8/11/2020 21:08,328.94,328.94,329.92,322.26,323.32,283691562
8/12/2020 21:08,359.42,359.42,364.3,333.69,328.94,532998447.1
8/13/2020 21:08,370.92,370.92,374.8,356.38,359.42,495574538.5
8/14/2020 21:08,365.66,365.66,374.38,359.04,370.92,350336790.4
8/15/2020 21:08,366.44,366.44,369.56,355.16,365.66,292590262.3
8/16/2020 21:08,363.24,363.24,377.64,361.99,366.44,327592609.7
8/17/2020 21:08,354.2,354.2,357.51,348.79,363.24,270201670
8/18/2020 21:08,344.51,344.51,352.76,336.96,354.2,267025646.8
8/19/2020 21:08,351.21,351.21,353.01,345,344.51,284847271.5
8/20/2020 21:08,329.27,329.27,345.03,328.09,351.21,315766141.1
8/21/2020 21:08,335.99,335.99,337.18,330.44,329.27,248472214
8/22/2020 21:08,331.85,331.85,336.1,329.27,335.99,174263391.5
8/23/2020 21:08,346.63,346.63,347.53,333.94,331.85,209206319
8/24/2020 21:08,324.59,324.59,333.6,315.47,346.63,238290161.4
8/25/2020 21:08,326.29,326.29,330.94,324.84,324.59,194945332
8/26/2020 21:08,324.33,324.33,328.46,319.53,326.29,272965873.3
8/27/2020 21:08,332.8,332.8,334.94,326.69,324.33,237537278.5
8/28/2020 21:08,335.98,335.98,340.33,330.57,332.8,209472262.8
8/29/2020 21:08,360.38,360.38,361.17,341.88,335.98,357025217
8/30/2020 21:08,364.35,364.35,366.4,353,360.38,425259638.9
8/31/2020 21:08,399.44,399.44,405.84,371.41,364.35,704845961.2
9/1/2020 21:09,372.06,372.06,389.7,361.26,399.44,594525057.4
9/2/2020 21:09,324.36,324.36,340.06,315.04,372.06,454689718.4
